Englisch;Deutsch;Audio
We are a medium-sized company in the IT sector;Wir sind eine mittelständisches  Unternehmen in der IT-Branche;We are a medium-sized company in the IT sector
The company is based in Berlin;Das Unternehmen hat seinen Sitz in Berlin;The company is based in Berlin
We manufacture hardware components for the automotive industry;Wir fertigen Hardwarekomponenten für die Automobilbranche;We manufacture hardware components for the automotive industry
We provide software systems for customers in the electronics sector;Wir liefern Softwaresysteme für Kunden in der Elektronik Branche;We provide software systems for customers in the electronics sector
We export our products internationally ;Wir exportieren unsere Produkte international;We export our products internationally 
The company maintains the products after their delivery;Die Firma wartet ihre Produkte nach der Auslieferung;The company maintains the products after their delivery
This is my colleague Justin from the sales department;Das ist mein Kollege Justin aus dem Vertrieb;This is my colleague Justin from the sales department
This is where we assemble our machines;Hier bauen wir unsere Maschinen zusammen;This is where we assemble our machines
I work in a team of software testers;Ich arbeite in einem Team von Software-Testern;I work in a team of software testers
I install the newest updates at my work station;Ich installiere die neusten Updates an meinem Arbeitsplatz;I install the newest updates at my work station
I replace or improve faulty code;Ich ersetze  oder verbessere fehlerhaften Code;I replace or improve faulty code
I regularly inspect and test the work of my colleagues;Ich überprüfe und teste die Arbeit meiner Mitarbeiter regelmäßig;I regularly inspect and test the work of my colleagues
He maintains and repairs network systems;Er wartet und repariert Netzwerksysteme;He maintains and repairs network systems
His job is to troubleshoot software problems;Es ist sein Job Softwareprobleme zu beheben;His job is to troubleshoot software problems
Diagnosing software problems is my job;Es ist mein Job Softwareprobleme festzustellen;Diagnosing software problems is my job
I make sure our software products get to our clients;Ich stelle sicher, dass unsere Software-Produkte unseren Kunden geliefert werden;I make sure our software products get to our clients
She is responsible for maintaining our database;Sie ist dafür verantwortlich unsere Datenbank zu pflegen;She is responsible for maintaining our database
Everyone reports directly to our project manager;Jeder erstattet direkt dem Projektmanager Bericht;Everyone reports directly to our project manager
We all work fixed hours;Wir haben alle feste Arbeitszeiten;We all work fixed hours
I work in shifts;Ich arbeite in Schichten;I work in shifts
Our boss works a 30-hour week;Unser Chef hat eine 30-Stunden-Woche;Our boss works a 30-hour week
He does a lot of overtime;Er macht viele Überstunden;He does a lot of overtime
We are apprentices in Germany;Wir sind Auszubildende in Deutschland;We are apprentices in Germany
I am enquiring about your new hardware products;Ich wollte mich über Ihre neuen Softwareprodukte erkundigen;I am enquiring about your new hardware products
Could you put me through to the administrative accounting?;Könnten Sie mich bitte zur Finanzbuchhaltung durchstellen?;Could you put me through to the administrative accounting?
Tap once on the symbol and you will see the information you require;Drücken Sie einmal auf das Symbol und sie werden die benötigten Informationen sehen;Tap once on the symbol and you will see the information you require
Place two fingers together on the screen and then spread them;Platzieren Sie zwei Finger zusammenn auf dem Bildschirm und spreizen Sie sie dann;Place two fingers together on the screen and then spread them
Double tap the place you want to zoom into on the screen;Doppelklicken Sie auf die Stelle auf dem Bildschirm, die Sie vergrößern möchten;Double tap the place you want to zoom into on the screen
Make sure you have sufficient privilege to perform the installation;Stellen Sie sicher, dass Sie ausreichende Berechtigungen haben, um die Installation auszuführen;Make sure you have sufficient privilege to perform the installation
Choose 'Add new extension' under the 'Extensions' menu;"Wählen sie ""Neue Erweiterung hinzufügen""  unter dem Menüpunkt ""Erweiterungen""";Choose 'Add new extension' under the 'Extensions' menu
Enter the URL provided in your license confirmation email;Geben Sie die URL ein, die in ihrer Lizenzbestätigungsmail angegeben ist;Enter the URL provided in your license confirmation email
Confirm that the package was installed successfully ;Bestätige, dass das Paket erfolgreich installiert wurde;Confirm that the package was installed successfully 
Take additional steps to verify your specific settings;Führen Sie weitere Schritte aus, um Ihre anwenderspezifischen Einstellungen zu überprüfen;Take additional steps to verify your specific settings
You are not permitted to install software from the internet;Sie haben keine Berechtigung, Software aus dem Internet zu installieren.;You are not permitted to install software from the internet
You are allowed to download videos;Du hast die Erlaubnis Videos herunterzuladen.;You are allowed to download videos
Clients do not have access to the company intranet;Kunden haben keinen Zugang zum Intranet;Clients do not have access to the company intranet
To access your email you need smartphone, tablet or desktop computer;Um Ihre Mails abzurufen, benötigen Sie ein Smartphone, Tablet oder einen PC;To access your email you need smartphone, tablet or desktop computer
Authentication  via soft token requires a smartphone or tables with the app installed;Die Authentifizierung mittels Software-Token erfordert die Installation der App auf einem Tablet oder Smartphone ;Authentication  via soft token requires a smartphone or tables with the app installed
The number of cyberattacks decreased slightly last month;Die Zahl der Cyberangriffe ging letzten Monat leicht zurück;The number of cyberattacks decreased slightly last month
Phishing accounted for approximately one third of all cyberattacks;Phising machte ungefähr ein Drittel aller Cyberangriffe aus;Phishing accounted for approximately one third of all cyberattacks
Malware made up just over one tenth of web-based attacks;Schadsoftware machte etwas ein Zehntel der netzbasierten Angriffe aus;Malware made up just over one tenth of web-based attacks
This tablet has some interesting features;Dieses Tablet hat einige interessante Funktionen;This tablet has some interesting features
How much storage space does this hard drive have?;Wie viel Speicherplatz hat diese Festplatte?;How much storage space does this hard drive have?
Will I need to buy a new graphics card?;Werde ich eine neue Grafikkarte kaufen müssen?;Will I need to buy a new graphics card?
There are several options that allow you to customize Software;Es gibt mehrere Optionen, die Ihnen ermöglichen, die Software anzupassen;There are several options that allow you to customize Software
The first step in the customization is uninstalling the old components;Der erste Schritt bei der Anpassung ist das Deinstallieren der alten Komponenten;The first step in the customization is uninstalling the old components
If you selected the wrong options, go back to the previous menu;Falls du die falsche Option ausgewählt hast, geh in das vorherige Menü zurück;If you selected the wrong options, go back to the previous menu
The final stage of the developing process is to test the program;Der letzte Schritt des Entwicklungsprozesses ist das Testen des Programms;The final stage of the developing process is to test the program
We need to take into account the conditions that the network operates under;Wir müssen die Bedingungen berücksichtigen, unter denen das Netzwerk betrieben wird;We need to take into account the conditions that the network operates under
The number of access points is another important factor;Die Zahl der Access Points ist ein anderer wichtiger Faktor;The number of access points is another important factor
Bear the data rate in mind!;Berücksichtige die Datenrate!;Bear the data rate in mind!
Unless we install a dual-band network, employee productivity will suffer;Wenn wir kein Dualband-Netzwerk installieren, wird die Produktivität der Mitarbeiter darunter leiden;Unless we install a dual-band network, employee productivity will suffer
It's vital that we buy spare parts just in case;Es ist wichtig, dass wir Ersatzteile für den Fall der Fälle kaufen;It's vital that we buy spare parts just in case
How are you enjoying the trade fair?;Wie gefällt Ihnen die Messe?;How are you enjoying the trade fair?
It's great to see a lot of strong technology, don't you agree?;Es is toll, so viel leistungsstarke Technologie zu sehen, finden Sie nicht?;It's great to see a lot of strong technology, don't you agree?
You can check out our interactive demonstration;Du kannst unsere interaktive Vorführung ausprobieren;You can check out our interactive demonstration
We saw your advertisement about virtual reality;Wir haben Ihre Anzeige über Virtuelle Realität gesehen;We saw your advertisement about virtual reality
Full details of your terms of delivery and payment would be appreciated;Wir würden uns freuen, genaue Informationen zu Ihren Versand- und Zahlungsbedinungen zu erhalten;Full details of your terms of delivery and payment would be appreciated
I hope your product finds our customers' approval;Ich hoffe unsere Produkte sagen unseren Kunden zu;I hope your product finds our customers' approval
While testing the equipment we saw that it was not working properly;Beim Testen des Geräts stellte sich heraus, dass es nicht richtig funktioniert;While testing the equipment we saw that it was not working properly
Please let us know what can be done to solve this problem;Bitte teilen Sie uns mit, welche Maßnahmen getroffen werden könne, um dieses Problem zu beheben;Please let us know what can be done to solve this problem
We are unable to continue production, until we have the equipment;Wir können mit der Produktion nicht fortfahren, solange die Geräte nicht da sein;We are unable to continue production, until we have the equipment
We must point out that our further business relationship will depend on a satisfactory solution to the problem;Wir müssen darauf hinweisen, dass unsere weitere Zusammenarbeit von einer zufriedenstellenden Lösung des Problems abhängt;We must point out that our further business relationship will depend on a satisfactory solution to the problem
I apologize for the inconveniences I caused;Ich entschuldige mich für Unanehmlichkeiten, die ich verursacht habe;I apologize for the inconveniences I caused
The damage was caused by bad handling in transit;Der Schaden ist durch mangelhafte Abfertigung während des Transports entstanden;The damage was caused by bad handling in transit
