Buch;Unit;Thema;Deutsch;Englisch
IT Matters;1 - My company;Company;Grundlage;foundation
IT Matters;1 - My company;Company;Unternehmen;company
IT Matters;1 - My company;Company;Portät, Beschreibung, Profil;profile
IT Matters;1 - My company;Company;Auszubildender, Auszubildende, Lehrling;apprentice
IT Matters;1 - My company;Company;IT-Kaufmann, IT-Kauffrau;IT administrator
IT Matters;1 - My company;Company;Auszubildender, Auszubildende, Praktikant, Praktikantin;trainee
IT Matters;1 - My company;Company;aus dem Ausland;from abroad
IT Matters;1 - My company;Company;Netzwerk;network
IT Matters;1 - My company;Company;Bauteil, Bauelement;component
IT Matters;1 - My company;Company;Hersteller, Produzent;producer
IT Matters;1 - My company;Company;Gerät, Apparat;device
IT Matters;1 - My company;Company;Verbindung, Anschluss;connection
IT Matters;1 - My company;Company;Zentrale, Hauptsitz;head office
IT Matters;1 - My company;Company;gründen;to found
IT Matters;1 - My company;Company;Familienunternehmen;family business 
IT Matters;1 - My company;Company;führen;to run 
IT Matters;1 - My company;Company;Aufbau, Struktur;structure
IT Matters;1 - My company;Company;Vorsitzender;chairman
IT Matters;1 - My company;Company;Aufsichtsrat;board
IT Matters;1 - My company;Company;Gesellschafter, Teilhaber; partner
IT Matters;1 - My company;Company;Finanz, Finanzen;finance
IT Matters;1 - My company;Company;Einkauf;purchasing
IT Matters;1 - My company;Company;Verkauf, Vertrieb;sales
IT Matters;1 - My company;Company;jemanden beschäftigen;to employ
IT Matters;1 - My company;Company;einschließlich;including
IT Matters;1 - My company;Company;entwickeln;to develop
IT Matters;1 - My company;Company;fertigen, herstellen;to manufacture
IT Matters;1 - My company;Company;Kabel;cable
IT Matters;1 - My company;Company;Verbinder, Stecker;connector
IT Matters;1 - My company;Company;Maschinenbau;mechanical engineering
IT Matters;1 - My company;Company;Fabrik, Werk;factory
IT Matters;1 - My company;Company;Automatisierung, Automation;automation
IT Matters;1 - My company;Company;Datenverarbeitung;data processing
IT Matters;1 - My company;Company;Industrieelektronik;industrial electronics
IT Matters;1 - My company;Company;Fernmeldetechnik, Telekommunikation;telecommunication
IT Matters;1 - My company;Company;Berufausbildung;vocational training
IT Matters;1 - My company;Company;Lehre, Ausbildung;apprenticeship
IT Matters;1 - My company;Company;Rolle, Funktion;role
